verse_no,spoken_by,sanskrit_text,translation_1,translation_2,translation_3,translation_4,translation_5
3.9,Krishna,यजञरथतकरमणऽनयतर लकऽय करमबनधन तदरथ करम कनतय मकतसग समचर,this world is held in the bondage of work only when work is not performed as a sacrifice o arjuna you must perform work for this purpose free from attachment,this man becomes bound by actions other than those intended for god without being attached o son of kunti perform actions for him,the world is bound by actions other than those performed for the sake of sacrifice do thou therefore o son of kunti arjuna perform actions for that sake alone free from attachment,the world is fettered by action which is different from yajnaaction therefore o son of kunti free from attachment perform yajnaaction properly,in this world people are fettered by their actions unless they are performed as a sacrifice therefore o arjuna let your actions be done without attachment as a sacrifice only
3.10,Krishna,सहयजञ परज सषटव परवच परजपत अनन परसवषयधवमष वऽसतवषटकमधक,in the beginning the lord of all beings created man along with the sacrifice and said by this shall you prosper this shall be the cow of plenty granting all your desires,in days of yore having created the beings together with the sacrifices prajapati said by this you shall multiply let this be your yielder of coveted objects of desire,the creator having in the beginning created mankind together with sacrifice said by this shall you propagate let this be the milch cow of your desiresthe cow that yields all the desired objects,having created creatures formerly at the time of creation together with the necessary action the lord of creatures declared by means of this you shall propagate yourselves and let this be your wishfulfilling cow,in the beginning when god created all beings through the sacrifice of himself he said to them you can procreate through sacrifice and it shall satisfy all your desires
3.11,Krishna,दवनभवयतनन त दव भवयनत व परसपर भवयनत शरय परमवपसयथ,by this please the gods and they will support you thus nourishing each other you may obtain the highest good,you nourish the gods with this let those gods nourish you in return by mutually nourishing each other you shall attain the supreme good,with this nourish the gods and may the gods nourish you thus nourishing each other you shall attain the highest good,you should gratify the devas with this and let the devas gratify you thus mutually gratifying each other you will attain the highest good,worship the powers of nature and let them nourish you in return thus supporting each other you shall attain your highest welfare
3.12,Krishna,इषटनभगनह व दव दसयनत यजञभवत तरदततनपरदयभय य भङकत सतन एव स,the gods pleased by the sacrifice will bestow upon you the enjoyments you desire he who enjoys the bounty of the gods without giving them anything in return is but a thief,being nourished by sacrifices the gods will indeed give you the coveted enjoyments he is certainly a thief who enjoys what has been given by them without offering it to them,the gods nourished by the sacrifice will give you the desired objects so he who enjoys the objects given by the gods without offering anything in return is indeed a thief,the devas gratified with necessary action will grant you the things sacrificed therefore whoever enjoys their gifts without offering them to these devas is surely a thief,for fed by sacrifice nature will give you all the enjoyment you desire but he who enjoys what she gives without returning is indeed a thief
3.13,Krishna,यजञशषटशन सनत मचयनत सरवकलबष भञजत त तवघ पप य पचनतयतमकरणत,pious people who eat the remnants of sacrifices are freed from all sins whereas those who are sinful and cook only for their own sake will only incur sin,by partaking in the remnants of sacrifices they become freed from all sins but those who are unholy and cook for themselves incur sin,the righteous who eat the remnants of the sacrifice are freed from all sins but those sinful ones who cook food solely for their own sake indeed consume sin,the righteous persons who eat the remnants of the actions to be performed necessarily are freed from all sins but those who cook intending for their own selves are sinners and consume sin,the sages who enjoy the food that remains after the sacrifice is made are freed from all sins whereas the selfish who spread their feast only for themselves feed on sin alone
3.14,Krishna,अननदभवनत भतन परजनयदननसमभव यजञदभवत परजनय यजञ करमसमदभव,all beings arise from food food is produced from rain rain comes from sacrifice and sacrifice is born of action,from food are born the creatures the origin of food is from rain rain originates from sacrifice sacrifice has action as its source,from food come forth beings from rain food is produced from sacrifice arises rain and sacrifice is born of action,from food arise the things that are born from the raincloud the food arises from the sacrifice the raincloud arises the sacrifice arises from action,all creatures are the product of food food is the product of rain rain comes from sacrifice and sacrifice is the noblest form of action
3.15,Krishna,करम बरहमदभव वदध बरहमकषरसमदभवम तसमतसरवगत बरहम नतय यजञ परतषठतम,know that activity springs from brahman ie the physical body brahman arises from the imperishable self therefore the allpervading brahman is ever established in sacrifice,know that action has the vedas as its origin the vedas have the immutable as their source hence the allpervading vedas are forever based on sacrifice,know that action comes from brahma and brahma comes from the imperishable therefore the allpervasive brahma ever rests in sacrifice,action arises from the brahman you should know this the brahman arises from that which does not stream forth therefore the allpervading brahman is permanently based on the sacrifice,all actions originate from the supreme spirit which is imperishable and in sacrificial actions the allpervasive spirit is consciously present
3.16,Krishna,एव परवरतत चकर ननवरतयतह य अघयरनदरयरम मघ परथ स जवत,he who does not follow the wheel thus set in motion here lives in sin satisfying the senses o arjuna he lives in vain,o partha he who does not follow the wheel thus set in motion lives in vain their life is sinful and they indulge in the senses,he who does not follow the wheel thus set in motion who is of sinful life rejoicing in the senses lives in vain o arjuna,whoever does not keep the wheel of life rolling which has been set in motion in this world is a man of sinful life rejoicing in the senses and he lives in vain o son of prtha,thus he who does not help the revolving wheel of sacrifice but instead leads a sinful life rejoicing in the gratification of his senses o arjuna is breathing in vain
3.17,Krishna,यसतवतमरतरव सयदतमतपतशच मनव आतमनयव च सनतषटसतसय करय न वदयत,but the man whose delight is only in the self who is satisfied with the self who rejoices in the self for him nothing remains to be accomplished,but that man who rejoices only in the self is satisfied with the self and is content only in the selffor him there is no duty to perform,but for that man who rejoices only in the self who is satisfied with the self and is content in the self alone indeed there is nothing to do,but the man who simply rejoices in the self is satisfied in the self and delights in the self alonethere exists no action for him to be performed,on the other hand the soul who meditates on the self is content to serve the self and rests satisfied in the self there is nothing more for them to accomplish
3.18,Krishna,नव तसय कतनरथ नकतनह कशचन न चसय सरवभतष कशचदरथवयपशरय,he has no purpose to gain from work done or left undone nor does he have to rely on any end,for him there is no concern here at all with performing action nor any with nonperformance moreover he has no dependence on any object to serve any purpose,for him there is no interest whatsoever in what is done or not done nor does he depend on any being for any purpose,no purpose is served for him by what he has done or by what he has not done for him there is hardly any dependence on any purpose among all beings,he has nothing to gain from the performance or nonperformance of action his welfare does not depend on any contribution that an earthly creature can make
3.19,Krishna,तसमदसकत सतत करय करम समचर असकत हयचरनकरम परमपनत परष,therefore do your work without attachment which ought to be done for a person who works without attachment attains the supreme,therefore remaining unattached always perform the obligatory duty for by performing ones duty without attachment a person attains the highest,therefore without attachment always perform the actions that should be done for by performing actions without attachment one reaches the supreme,therefore always remaining unattached you should perform the action that is to be performed for the person performing action without attachment attains the supreme,therefore do your duty perfectly without worrying about the results for he who does his duty without attachment attains the supreme
3.20,Krishna,करमणव ह ससदधमसथत जनकदय लकसगरहमवप सपशयनकरतमरहस,indeed janaka and others reached perfection through karma yoga alone even recognizing its necessity for guiding the world you must perform action,for janaka and others strove to attain liberation through action itself you should perform your duties keeping in view the prevention of mankind from going astray,janaka and others attained perfection indeed through action alone even with the intention of protecting the masses you should perform action,janaka and others attained emancipation through action alone moreover you should act with the intention of upholding the world,king janaka and others attained perfection through action alone even for the sake of enlightening the world it is your duty to act
3.21,Krishna,यदयदचरत शरषठसतततदवतर जन स यतपरमण करत लकसतदनवरतत,whatever a great man does others do too whatever standard he sets the world follows it,whatever a superior person does another person does the same whatever they uphold as authority an ordinary person follows that,whatever a great man does others also do whatever he establishes as the standard the world follows,whatever a great man does others of lesser stature follow suit whatever standard he sets the world follows it,for whatever a great man does others imitate people conform to the standard he has set
3.22,Krishna,न म परथसत करतवय तरष लकष कञचन ननवपतमवपतवय वरत एव च करमण,for me arjuna there is nothing in all the three worlds that ought to be done nor is there anything unaccomplished that ought to be accomplished yet i continue to work,in all the three worlds o partha there is no duty for me to fulfill nothing remains unachieved or to be achieved still i continue in action,there is nothing in the three worlds o arjuna that needs to be done by me nor is there anything unattained that needs to be attained yet i engage myself in action,o son of prtha for me there is nothing to be done in the three worlds nor is there anything yet to be attained and yet i am engaged in action,there is nothing in this universe o arjuna that i am compelled to do nor anything for me to attain yet i persistently remain active
3.23,Krishna,यद हयह न वरतय जत करमणयतनदरत मम वरतमनवरतनत मनषय परथ सरवश,if i did not continue to work unweariedly o arjuna people would follow my path,for o partha if at any time i do not continue vigilantly in action people will follow my path in every way,for should i not ever engage myself in action unwearied people would in every way follow my path o arjuna,for if i were ever not to work unwearied all men would follow my path o son of prtha,were i not to act without ceasing o prince people would be inclined to do the same
3.24,Krishna,उतसदयरम लक न करय करम चदहम सङकरसय च करत सयमपहनयमम परज,if i do not do the work these people will be lost and i will be causing chaos in life and thereby ruining all these people,these worlds would be ruined if i did not perform action and i shall become the agent of intermingling of castes and shall be destroying these beings,these worlds would perish if i did not perform action i would be the author of confusion of castes and destruction of these beings,these worlds would perish if i were not to perform action and i would be the cause of confusion i would destroy these people,and if i were to refrain from action the human race would be ruined i would lead the world to chaos and destruction would follow
3.25,Krishna,सकत करमणयवदवस यथ करवनत भरत करयदवदवसतथसकतशचकरषरलकसगरहम,just as the ignorant attached to their work act o arjuna so too the learned should act without any attachment and only for the welfare of the world,o scion of the bharata dynasty as the unenlightened people act with attachment to work so should the enlightened person act without attachment desiring to prevent people from going astray,as the ignorant act out of attachment to action o bharata so should the wise act without attachment wishing for the welfare of the world,therefore just as the unwise persons being attached to action do o son of prtha so the wise should perform but being unattached and desiring to hold the world together,as the ignorant act out of their fondness for action so should the wise act without attachment fixing their eyes o arjuna only on the welfare of the world
3.26,Krishna,न बदधभद जनयदजञन करमसङगनम जषयतसरवकरमण वदवन यकत समचरन,he should not bewilder the minds of the ignorant who are attached to work rather he should himself perform work with devotion and cause others to do the same,the enlightened man should not disturb the beliefs of the ignorant who are attached to work he should remain diligent himself and make them perform all their duties,let no wise man unsettle the minds of ignorant people who are attached to action he should engage them in all actions himself fulfilling them with devotion,let the wise master of yoga fulfill or destroy all actions by performing them all and let him not create any disturbance in the minds of the ignorant persons attached to action,but a wise man should not disturb the minds of the ignorant who are attached to action let him perform his own actions in the right spirit with concentration on me thus inspiring all others to do the same
3.27,Krishna,परकत करयमणन गण करमण सरवश अहङकरवमढतम करतऽहमत मनयत,actions are being performed in every way by the gunas of prakrti he whose nature is deluded by egoism however thinks i am the doer,while actions are being done in every way by the gunas qualities of nature one who is deluded by egoism thinks i am the doer,all actions are wrought in all cases by the qualities of nature alone he whose mind is deluded by egoism thinks i am the doer,the actions are performed part by part by the strands of prakriti yet the person having his self mind deluded with egoity imagines i am the sole doer,action is the product of the qualities inherent in nature it is only the ignorant man who misled by personal egotism says i am the doer
3.28,Krishna,तततववतत महबह गणकरमवभगय गण गणष वरतनत इत मतव न सजजत,but he who knows the truth about the division of the gunas and works o mightyarmed one through his knowledge that the gunas operate on their own products is not attached,but o mightyarmed one the one who is a knower of the facts about the varieties of the gunas and actions does not become attached thinking thus the organs act on the objects of the organs,but he who knows the truth o mightyarmed arjuna about the divisions of the qualities and their functions knowing that the gunas as senses move amidst the gunas as the senseobjects is not attached,but o mightyarmed one the one who knows the true nature of the strands and their respective divisions of work realizes the strands are in their respective purposes and thus he is not attached,but he o mighty one who correctly understands the relationship between the qualities and action is not attached to the act for he perceives that it is merely the action and reaction of the qualities among themselves
3.29,Krishna,परकतरगणसममढ सजजनत गणकरमस तनकतसनवद मनदनकतसनवनन वचलयत,those who are deluded by the gunas of prakrti are attached to the works of the gunas but he who knows the whole truth should not disturb the ignorant who do not know the whole truth,those who are completely deluded by the gunas of nature become attached to the activities of the gunas the one who knows the all should not disturb those of dull intellect who do not know the all,those deluded by the qualities of nature are attached to the functions of the qualities the man of perfect knowledge should not unsettle the foolish one who is of imperfect knowledge,men completely deluded by the strands of prakrti are attached to the actions of those strands those who know fully should not confuse them whereas the dullards who do not know fully,those who do not understand the qualities are interested in the act however the wise man who knows the truth should not disturb the mind of those who do not
3.30,Krishna,मय सरवण करमण सनयसयधयतमचतस नरशरनरमम भतव यधयसव वगतजवर,surrender all your actions to me with a mind focused on the self free from desire and selfishness and fight with the heat of excitement abated,free from the fever of the soul dedicate all actions to me with your mind intent on the self and become free from expectations and egoism and engage in battle,renouncing all actions in me with the mind centered on the self free from hope and egoism and from mental fever fight thou,renouncing all actions in me with a mind that concentrates on the self being free from the act of resting and from the sense of possession and consequently being free from mental fever you should fight,therefore surrender your actions to me keep your thoughts focused on the absolute free from selfishness and without expecting a reward with a mind free from excitement begin to fight
3.31,Krishna,य म मतमद नतयमनतषठनत मनव शरदधवनतऽनसयनत मचयनत तऽप करमभ,those men who full of faith ever practice this teaching of mine and those who receive it without cavileven they are released from karma,those who faithfully follow this teaching of mine without cavil they too become freed from their actions,those who constantly practice this teaching of mine with faith and without caviling they too are freed from actions,those who constantly follow this doctrine of mine with faith and without finding fault are freed from the results of all actions,those who always act in accordance with my precepts firmly in faith and without caviling they too are freed from the bondage of action
3.32,Krishna,य तवतदभयसयनत ननतषठनत म मतम सरवजञनवमढसतनवदध नषटनचतस,but those who slander it and those who do not practice this teaching of mineknow them to be utterly senseless and devoid of all knowledge and thus lost,but those who finding fault where there is none do not follow my teaching know themwho are deluded about all knowledge concerning the qualified and the unqualified brahman and who are devoid of discriminationto have gone to ruin,but those who criticize my teaching and do not practice it deprived of all knowledge and lacking discernment know them to be doomed to destruction,but those who finding fault do not follow this doctrine of mine be sure that these men are highly deluded in all branches of knowledge and are lost and brainless,but they who ridicule my word and do not observe it are ignorant devoid of wisdom and blind they seek only their own destruction
3.33,Krishna,सदश चषटत सवसय परकतरजञनवनप परकत यनत भतन नगरह क करषयत,even the man of knowledge acts according to his nature all beings follow their own nature what will repression accomplish,even a man of wisdom behaves according to his own nature they follow their nature what can restraint do,even a wise man acts in accordance with his own nature beings will follow their nature what can restraint do,even a man of knowledge acts in accordance with his own prakriti the elements return to prakriti what will restraint avail,even the wise man acts in accordance with his nature indeed all creatures act according to their natures what is the use of compulsion then
3.34,Krishna,इनदरयसयनदरयसयरथ रगदवष वयवसथत तयरन वशमगचछतत हयसय परपनथन,each sense has a fixed attachment to and aversion for its corresponding object but one should not come under their sway for they are enemies,attraction and repulsion are ordained with respect to the objects of all the organs one should not be swayed by these two as they are adversaries,attachment and aversion for the objects of the senses abide in the senses let no one come under their sway for they are his enemies,for a man of worldly life there are clearly fixed likes and dislikes with regard to the objects of each of his sense organs these are the obstacles for him the wise would not come under their control,the love and hate that are aroused by the objects of sense arise from nature do not yield to them as they only obstruct the path
3.35,Krishna,शरयनसवधरम वगण परधरमतसवनषठतत सवधरम नधन शरय परधरम भयवह,better is ones own duty even if done poorly than the duty of another done well it is better to die while performing ones own duty the duty of another is full of fear,ones own duty though defective is superior to anothers duty wellperformed death is better while engaged in ones own duty anothers duty is full of fear,better is ones own duty though devoid of merit than the duty of another well discharged better is death in ones own duty the duty of another is fraught with fear,better is ones own duty even if it lacks merit than the wellperformed duty of another it is better to suffer ruin in ones own duty than to gain success in anothers,it is better to do ones own duty however lacking in merit than to do that of another even though efficiently it is better to die doing ones own duty for doing the duty of another is fraught with danger
3.36,Arjun,अथ कन परयकतऽय पप चरत परष अनचछननप वरषणय बलदव नयजत,arjuna said but o krsna what impels one to commit sin even against their own will as if constrained by force,arjuna said now then o scion of the vrsni dynasty krsna what compels this man to commit sin even against his will as if he were constrained by force,arjuna said but what compels man to commit sin even against his wishes o varshneya krishna as if constrained by force,arjuna said then what induces this person of the world to commit sin even though they do not desire it as if they are being overpowered by a force,arjuna asked my lord what is it that drives a person to sin even against their will and as if by compulsion
3.37,Krishna,कम एष करध एष रजगणसमदभव महशन महपपम वदधयनमह वरणम,the lord said it is desire it is wrath born of the guna of rajas it is a great devourer an impeller of sin know this to be the enemy here,the blessed lord said this desire this anger born of the quality of rajas is a great devourer a great source of sin know this to be the enemy here,the blessed lord said it is desire and it is anger both of the quality of rajas alldevouring and allsinful know this as the foe here in this world,the bhagavat said this desire this wrath born of the rajasstrand is a swallower of festivity and a mighty bestower of sins know this to be the enemy here,lord shri krishna it is desire it is aversion born of passion desire consumes and corrupts all things it is the greatest enemy of man
3.38,Krishna,धमनवरयत वहनरयथऽऽदरश मलन च यथलबनवत गरभसतथ तनदमवतम,as a fire is enveloped by smoke as a mirror is covered by dust and as an embryo is encased in the amniotic sac so is this world enveloped by desire,as fire is enveloped by smoke as a mirror is obscured by dirt and as a fetus remains enclosed in the womb so is this shrouded by that,as fire is enveloped by smoke as a mirror is covered by dust and as an embryo is surrounded by the amniotic sac so is this enveloped by that,as fire is concealed by smoke a mirror by dirt and an embryo by its membranecover so he is concealed by this foe,as fire is shrouded by smoke a mirror is covered by dust and a child is enveloped by the womb so is the universe enveloped in desire
3.39,Krishna,आवत जञनमतन जञनन नतयवरण कमरपण कनतय दषपरणनलन च,the knowledge of the intelligent self is enveloped by this constant enemy o arjuna which is of the nature of desire and is difficult to gratify and insatiable,o son of kunti knowledge is covered by this constant enemy of the wise in the form of desire which is an insatiable fire,o arjuna wisdom is enveloped by this constant enemy of the wise in the form of desire which is insatiable like fire,o son of kunti the knowledge of the wise is concealed by this eternal foe which appears desirable yet is insatiable like fire,it is the wise mans constant enemy it tarnishes the face of wisdom being as insatiable as a flame of fire
3.40,Krishna,इनदरयण मन बदधरसयधषठनमचयत एतरवमहयतयष जञनमवतय दहनम,the senses the mind and the intellect are said to be its instruments by these it overpowers the embodied self enveloping its knowledge,the organs mind and intellect are said to be its abode this one diversely deludes the embodied being veiling knowledge with the help of these,the senses the mind and the intellect are said to be its seat through these it deludes the embodied one veiling their wisdom,it is said to be based on the senseorgans the mind and the intellect with these it deludes the embodied by concealing knowledge,it works through the senses the mind and the reason and with their help it destroys wisdom and confounds the soul
3.41,Krishna,तसमततवमनदरयणयद नयमय भरतरषभ पपमन परजह हयन जञनवजञननशनम,therefore o arjuna control your senses from the outset and slay this sinful thing that destroys both knowledge and discernment,therefore o scion of the bharata dynasty after first controlling the organs completely renounce this one which is sinful and a destroyer of learning and wisdom,therefore o best of the bharatas control your senses first and then kill this sinful thing which destroys knowledge and realization,therefore o best among the bharatas you must avoid this sinful one destroying knowledge and action by controlling completely the senseorgans in the beginning itself,therefore o arjuna first control your senses and then slay desire for it is full of sin and is the destroyer of knowledge and wisdom
3.42,Krishna,इनदरयण परणयहरनदरयभय पर मन मनससत पर बदधरय बदध परतसत स,they say that the senses are high the mind is higher than the senses the intellect is higher than the mind but what is greater than the intellect is that desire,they say that the organs are superior to the gross body the mind is superior to the organs and the intellect is superior to the mind however he is superior to the intellect,they say that the senses are superior to the body the mind is superior to the senses the intellect is superior to the mind and he the self is superior even to the intellect,it is said that the senseorgans are different from their objects the mind is different from the senseorgans the intellect is different from the mind and that self is different from the intellect,it is said that the senses are powerful however beyond the senses is the mind beyond the mind is the intellect and greater than the intellect is he
3.43,Krishna,एव बदध पर बदधव ससतभयतमनमतमन जह शतर महबह कमरप दरसदम,thus knowing that which is higher than the intellect and fixing the mind with the help of the intellect in karma yoga o arjuna slay this enemy which takes the form of desire and which is difficult to overcome,the ast introduces this verse with tatah kim what follows from thattr understanding the self thus as superior to the intellect and completely establishing the self through spiritual absorption with the help of the mind o mightyarmed one the enemy in the form of desire which is difficult to subdue vanishes,thus knowing him who is superior to the intellect and restraining the self by the self slay thou o mightyarmed arjuna the enemy in the form of desire hard to conquer,thus being conscious that it is different from the intellect and steadying the self with the self kill the foe that is of the form of desire and that is hard to approach,thus o mightyarmed one knowing him to be beyond the intellect and with his help subdue your personal ego and kill your enemy desire even though it is extremely difficult
4.1,Krishna,इम ववसवत यग परकतवनहमवययम ववसवन मनव परह मनरकषवकवऽबरवत,the lord said i taught this imperishable yoga to vivasvan vivasvan taught it to manu manu declared it to iksvaku,the blessed lord said i imparted this imperishable yoga to vivasvan who then taught it to manu who in turn transmitted it to iksavaku,the blessed lord said i taught this imperishable yoga to vivasvan he then told it to manu manu proclaimed it to ikshvaku,the bhagavad said this changeless yoga i had properly taught thus to vivasvat vivasvat correctly told it to manu and manu declared it to iksvaku,lord shri krishna said i taught this imperishable philosophy to vivaswān the founder of the sun dynasty vivaswān gave it to manu the lawgiver and manu to king ikshvāku
4.2,Krishna,एव परमपरपरपतमम रजरषय वद स कलनह महत यग नषट परनतप,thus handed down in succession the royal sages knew this karma yoga but with a long lapse of time o arjuna that yoga was lost to the world,the kingsages knew this yoga which was received in regular succession that yoga o destroyer of foes is now lost due to a long lapse of time,this handed down in regular succession by the royal sages was known this yoga however has been lost here over time o parantapa burner of the foes,thus the regal sages knew this which was received in regular succession over time however this yoga has been lost o scorcher of enemies,the divine kings knew it for it was their tradition then after a long time it was at last forgotten
4.3,Krishna,स एवय मय तऽदय यग परकत परतन भकतऽस म सख चत रहसय हयतदततमम,it is the same ancient yoga that i am now teaching you for you are my devotee and my friend for this is a supreme mystery,that ancient yoga itself which is this has been taught to you by me today considering you to be my devotee and friend for this yoga is a profound secret,that same ancient yoga has been today taught to you by me for you are my devotee and my friend it is the supreme secret,the same ancient yoga has now been taught to you by me on the grounds that you are both my devotee and friend this is the highest secret,it is the same ancient path that i have now revealed to you for you are my devotee and my friend it is the supreme secret
4.4,Arjun,अपर भवत जनम पर जनम ववसवत कथमतदवजनय तवमद परकतवनत,arjuna said your birth was later and vivasvans birth was earlier how then can i understand that you taught it in the beginning,arjuna said your birth was later whereas vivasvans birth was earlier how am i to understand that you instructed him in the beginning,arjuna said later was thy birth and prior to it was the birth of vivasvan the sun how am i to understand that thou hast taught this yoga from the beginning,arjuna said your birth is later while the birth of vivasvat is earlier how am i then to understand that you had properly taught him this in the beginning,arjuna asked my lord vyasawana was born before you how then can you have revealed it to him
4.5,Krishna,बहन म वयततन जनमन तव चरजन तनयह वद सरवण न तव वतथ परनतप,the lord said many of my births have passed o arjuna as have yours i know them all but you do not know them,the blessed lord said o arjuna many lives of mine have passed and so have yours i know them all but you do not know o scorcher of enemies,the blessed lord said many births of mine have passed as well as of thine o arjuna i know them all but thou knowest not o parantapa scorcher of foes,the bhagavat said o arjuna many births of mine as well as yours have passed all of them i know but you do not o scorcher of foes,lord shri krishna replied i have been born again and again from time to time thou too o arjuna my births are known to me but yours are unknown to you
4.6,Krishna,अजऽप सननवययतम भतनमशवरऽप सन परकत सवमधषठय सभवमयतममयय,though i am birthless and of immutable nature and the lord of all beings yet by employing my own nature prakrti i am born out of my own free will,though i am birthless and undecaying by nature and the lord of beings yet by subjugating my prakriti i take birth through my own maya,though i am unborn and of imperishable nature and though i am the lord of all beings yet governing my own nature i am born by my own maya,though i am unborn and changeless self though i am the lord of all beings yet presiding over my own nature i take birth by my own trick of illusion,there is no beginning to me though i am imperishable and the lord of all that exists i manifest myself by my own will and power
4.7,Krishna,यद यद ह धरमसय गलनरभवत भरत अभयतथनमधरमसय तदऽऽतमन सजमयहम,whenever there is a decline of dharma o arjuna and an uprising of adharma then i incarnate myself,o scion of the bharata dynasty whenever there is a decline in virtue and an increase in vice then i manifest myself,whenever there is a decline of righteousness and an increase of unrighteousness o arjuna then i manifest myself,for whenever there is a decay of righteousness and the rise of unrighteousness then o descendant of bharata i send forth that which the self is unimportant,whenever spirituality decays and materialism is rampant then o arjuna i reincarnate myself
4.8,Krishna,परतरणय सधन वनशय च दषकतम धरमससथपनरथय सभवम यग यग,for the protection of the good and the destruction of the wicked for the establishment of dharma i am born from age to age,for the protection of the pious the destruction of the evildoers and the establishment of virtue i manifest myself in every age,for the protection of the good for the destruction of the wicked and for the establishment of righteousness i am born in every age,for the protection of the good people and for the destruction of evildoers and for the purpose of firmly establishing righteousness i take birth in every age,to protect the righteous to destroy the wicked and to establish the kingdom of god i am reborn from age to age
4.9,Krishna,जनम करम च म दवयमव य वतत तततवत तयकतव दह पनरजनम नत ममत सऽरजन,he who thus knows in truth my divine birth and actions does not get rebirth after leaving the body he will come to me o arjuna,he who thus knows truly the divine birth and actions of mine does not get rebirth after casting off the body he attains me o arjuna,he who thus knows in their true light my divine birth and actions having abandoned the body is not born again he comes to me o arjuna,whoever knows correctly the divine birth and action of mine he upon abandoning the body does not go to rebirth but goes to me o arjuna,he who realizes the divine truth concerning my birth and life does not take birth again and when he leaves his body he becomes one with me
4.10,Krishna,वतरगभयकरध मनमय ममपशरत बहव जञनतपस पत मदभवमगत,freed from desire fear and wrath absorbed in me depending upon me purified by the austerity of knowledge many have attained my state,many who were devoid of attachment fear and anger who were absorbed in me who had taken refuge in me and were purified by the austerity of knowledge have attained my state,freed from attachment fear and anger absorbed in me taking refuge in me purified by the fire of knowledge many have attained my being,many persons who are free from passion fear and anger are full of me take refuge in me and have become pure through the austerity of wisdomthey have come to my being,many have merged their existences in mine being freed from desire fear and anger always filled with me and purified by the illuminating flame of selfabnegation
4.11,Krishna,य यथ म परपदयनत तसतथव भजमयहम मम वरतमनवरतनत मनषय परथ सरवश,whoever resorts to me in any manner i favor them in the same manner men experience me alone in different ways o arjuna,according to the manner in which they approach me i favor them in that same manner o son of partha humans follow my path in every way,in whatever way men approach me even so do i reward them my path do men tread in all ways o arjuna,the way in which people resort to me in the same way i favor them o son of prtha all kinds of people follow my path,however men try to worship me i welcome them whatever path they take it leads to me in the end
4.12,Krishna,कङकषनत करमण सदध यजनत इह दवत कषपर ह मनष लक सदधरभवत करमज,those who desire the fruits of their ritualistic acts sacrifice to the gods here for success quickly accrues in the world of men,longing for the fruition of their actions of their rites and duties they worship the gods here for in the human world success from action comes quickly,those who long for success in action in this world sacrifice to the gods for success is quickly attained by men through action,those who desire success in their actions perform sacrifices intending them for the deities for the success born of ritualistic actions is quick in the world of men,those who seek success worship the powers and their actions in this world bear immediate fruit
4.13,Krishna,चतरवरणय मय सषट गणकरमवभगश तसय करतरमप म वदधयकरतरमवययम,the system of four stations was created by me according to the distinction of gunas and karma though i am their creator know me to be nonagent and immutable,the four castes have been created by me through a classification of the gunas and duties even though i am the agent of that act of classification still know me to be nonagentive and changeless,the fourfold caste has been created by me according to the differentiation of guna and karma though i am the author of it know me as nondoer and immutable,i have created the fourfold caste structure according to the division of their respective qualities and actions though i am the creator of this know me as the changeless noncreator,the four divisions of societythe wise the soldier the merchant and the laborerwere created by me according to the natural distribution of qualities and instincts i am the author of them though i myself do not act and am changeless
4.14,Krishna,न म करमण लमपनत न म करमफल सपह इत म यऽभजनत करमभरन स बधयत,works cannot contaminate me there is no desire for the fruits of actions in me he who understands this is not bound by actions,actions do not taint me for i have no hankering for the results of actions one who knows me thus does not become bound by their actions,actions do not taint me nor do i have a desire for the fruit of actions he who knows me thus is not bound by actions,actions do not stain me nor do i have a desire for the fruits of them either whoever understands me in this way is not bound by their actions,my actions do not bind me nor do i desire anything that they can bring he who thus realizes me is not enslaved by action
4.15,Krishna,एव जञतव कत करम परवरप ममकषभ कर करमव तसमततव परव परवतर कतम,knowing thus even ancient seekers of liberation did their work therefore do your work only as the ancients did in olden times,thus having known even the ancient seekers of liberation performed their duties therefore you should undertake action as was performed earlier by the ancients,having known this the ancient seekers of freedom also performed action therefore do thou also perform action as the ancients did in days of yore,realizing in this fashion ancient seekers of salvation also undertook action hence you too should by all means perform the action that was performed by the ancients,in the light of wisdom our ancestors who sought deliverance performed their acts act thou also as our fathers of old did
4.16,Krishna,क करम कमकरमत कवयऽपयतर महत ततत करम परवकषयम यजजञतव मकषयसऽशभत,what is action what is nonaction even the wise are puzzled in respect of these i shall declare to you that kind of action knowing which you will be freed from evil,even the intelligent are confounded as to what is action and what is inaction i shall tell you of that action knowing which you will become free from evil,what is action what is inaction even the wise are confused about this therefore i shall teach you the nature of action and inaction by knowing which you will be liberated from the evil of samsara the wheel of birth and death,even the wise are perplexed about what is action and what is nonaction i shall properly teach you the action by knowing which you will be freed from evil,what is action and what is inaction this is a question that has bewildered the wise but i will declare to you the philosophy of action and knowing it you will be free from evil
4.17,Krishna,करमण हयप बदधवय बदधवय च वकरमण अकरमणशच बदधवय गहन करमण गत,for there is what ought to be known in action likewise there is what ought to be known in multiform action and there is what ought to be understood in nonaction thus mysterious is the way of action,for there is something to be known even about action and something to be known about prohibited action and something needs to be known about inaction the true nature of action is inscrutable,for verily the true nature of action enjoined by the scriptures should be known as well as that of forbidden or unlawful action and of inaction the nature of action is hard to understand,something has to be understood about good action something has to be understood about wrong action and something has to be understood about nonaction it is difficult to comprehend the way of action,it is necessary to consider what is right action what is wrong action and what is inaction for the law of action is mysterious
